2022-05-01 00:32:26,350 | main | INFO | Starting program...
2022-05-01 00:32:26,351 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-01 00:32:26,402 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-01 00:32:26,403 | bot | INFO | Bot Subclass Created.
2022-05-01 00:32:26,409 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-01 00:32:26,417 | bot | INFO | Cog loaded: OCPcommands
2022-05-01 00:32:26,423 | bot | INFO | Cog loaded: AdminCommands
2022-05-01 00:32:26,424 | bot | INFO | Cog loaded: CPcommands
2022-05-01 00:32:26,445 | bot | INFO | Cog loaded: ErrorHandler
2022-05-01 08:32:45,891 | main | INFO | Starting program...
2022-05-01 08:32:45,892 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-01 08:32:45,922 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-01 08:32:45,923 | bot | INFO | Bot Subclass Created.
2022-05-01 08:32:45,927 | bot | INFO | Cog loaded: AdminCommands
2022-05-01 08:32:45,928 | bot | INFO | Cog loaded: ErrorHandler
2022-05-01 08:32:45,930 | bot | INFO | Cog loaded: OCPcommands
2022-05-01 08:32:45,933 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-01 08:32:45,935 | bot | INFO | Cog loaded: CPcommands
2022-05-01 15:33:39,034 | main | INFO | Starting program...
2022-05-01 15:33:39,034 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-01 15:33:39,162 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-01 15:33:39,165 | bot | INFO | Bot Subclass Created.
2022-05-01 15:33:39,182 | bot | INFO | Cog loaded: OCPcommands
2022-05-01 15:33:39,199 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-01 15:33:39,207 | bot | INFO | Cog loaded: CPcommands
2022-05-01 15:33:39,217 | bot | INFO | Cog loaded: AdminCommands
2022-05-01 15:33:39,224 | bot | INFO | Cog loaded: ErrorHandler
2022-05-01 17:02:54,233 | main | INFO | Starting program...
2022-05-01 17:02:54,234 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-01 17:02:54,274 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-01 17:02:54,275 | bot | INFO | Bot Subclass Created.
2022-05-01 17:02:54,278 | bot | INFO | Cog loaded: CPcommands
2022-05-01 17:02:54,280 | bot | INFO | Cog loaded: AdminCommands
2022-05-01 17:02:54,294 | bot | INFO | Cog loaded: OCPcommands
2022-05-01 17:02:54,297 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-01 17:02:54,298 | bot | INFO | Cog loaded: ErrorHandler
2022-05-02 03:18:18,457 | main | INFO | Starting program...
2022-05-02 03:18:18,459 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-02 03:18:18,506 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-02 03:18:18,507 | bot | INFO | Bot Subclass Created.
2022-05-02 03:18:18,510 | bot | INFO | Cog loaded: OCPcommands
2022-05-02 03:18:18,511 | bot | INFO | Cog loaded: ErrorHandler
2022-05-02 03:18:18,513 | bot | INFO | Cog loaded: AdminCommands
2022-05-02 03:18:18,514 | bot | INFO | Cog loaded: CPcommands
2022-05-02 03:18:18,516 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-02 21:34:28,963 | main | INFO | Starting program...
2022-05-02 21:34:28,964 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-02 21:34:28,994 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-02 21:34:28,995 | bot | INFO | Bot Subclass Created.
2022-05-02 21:34:28,998 | bot | INFO | Cog loaded: OCPcommands
2022-05-02 21:34:29,000 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-02 21:34:29,002 | bot | INFO | Cog loaded: AdminCommands
2022-05-02 21:34:29,003 | bot | INFO | Cog loaded: ErrorHandler
2022-05-02 21:34:29,004 | bot | INFO | Cog loaded: CPcommands
2022-05-03 00:05:32,352 | main | INFO | Starting program...
2022-05-03 00:05:32,358 | asyncio | DEBUG | Using selector: EpollSelector
2022-05-03 00:05:32,552 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-05-03 00:05:32,552 | bot | INFO | Bot Subclass Created.
2022-05-03 00:05:32,577 | bot | INFO | Cog loaded: CrusaderProfile
2022-05-03 00:05:32,578 | bot | INFO | Cog loaded: OCPcommands
2022-05-03 00:05:32,581 | bot | INFO | Cog loaded: AdminCommands
2022-05-03 00:05:32,585 | bot | INFO | Cog loaded: ErrorHandler
2022-05-03 00:05:32,595 | bot | INFO | Cog loaded: CPcommands
2022-05-03 03:22:04,434 | main | INFO | Starting program...
