2021-02-22 11:59:39,249 | main | INFO | Starting program...
2021-02-22 11:59:39,251 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 11:59:39,260 | werkzeug | INFO |  * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2021-02-22 11:59:39,418 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 11:59:39] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 11:59:39,498 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 11:59:39] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 11:59:55,685 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 11:59:55] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 11:59:55,770 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 11:59:55] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 12:00:40,054 | main | INFO | Starting program...
2021-02-22 12:00:40,055 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 12:00:40,085 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 12:00:40,086 | bot | INFO | Bot Subclass Created.
2021-02-22 12:00:40,124 | werkzeug | INFO |  * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2021-02-22 12:00:40,606 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 12:00:40] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 12:00:40,704 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 12:00:40] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 12:08:16,097 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 12:08:16] "[37mHEAD / HTTP/1.1[0m" 200 -
2021-02-22 12:38:16,168 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 12:38:16] "[37mHEAD / HTTP/1.1[0m" 200 -
2021-02-22 13:08:16,116 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 13:08:16] "[37mHEAD / HTTP/1.1[0m" 200 -
2021-02-22 13:22:26,748 | werkzeug | INFO | 172.18.0.1 - - [22/Feb/2021 13:22:26] "[37mGET / HTTP/1.1[0m" 200 -
2021-02-22 13:22:37,857 | main | INFO | Starting program...
2021-02-22 13:22:37,858 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 13:22:37,932 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 13:22:37,933 | bot | INFO | Bot Subclass Created.
2021-02-22 13:55:04,066 | main | INFO | Starting program...
2021-02-22 13:55:04,067 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 13:55:04,140 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 13:55:04,141 | bot | INFO | Bot Subclass Created.
2021-02-22 13:56:10,667 | main | INFO | Starting program...
2021-02-22 13:56:10,724 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 13:56:10,743 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 13:56:10,744 | bot | INFO | Bot Subclass Created.
2021-02-22 13:56:10,778 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 13:57:08,561 | main | INFO | Starting program...
2021-02-22 13:57:08,562 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 13:57:08,639 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 13:57:08,640 | bot | INFO | Bot Subclass Created.
2021-02-22 13:57:08,695 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:14:18,483 | main | INFO | Starting program...
2021-02-22 14:14:18,487 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:14:18,516 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:14:18,516 | bot | INFO | Bot Subclass Created.
2021-02-22 14:14:18,617 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:14:18,619 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:14:30,956 | main | INFO | Starting program...
2021-02-22 14:14:30,957 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:14:30,985 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:14:30,985 | bot | INFO | Bot Subclass Created.
2021-02-22 14:14:31,109 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:14:31,111 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:15:03,248 | main | INFO | Starting program...
2021-02-22 14:15:03,248 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:15:03,351 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:15:03,351 | bot | INFO | Bot Subclass Created.
2021-02-22 14:15:03,565 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:15:03,566 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:15:03,568 | bot | INFO | Cog loaded: ErrorHandler
2021-02-22 14:15:13,117 | exts.error_handler | DEBUG | Command profile invoked by Tpmonkey#2682 with error NoProfile: 
2021-02-22 14:15:17,483 | exts.error_handler | DEBUG | Command create invoked by Tpmonkey#2682 with error HasProfile: 
2021-02-22 14:16:39,737 | main | INFO | Starting program...
2021-02-22 14:16:39,737 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:16:39,759 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:16:39,760 | bot | INFO | Bot Subclass Created.
2021-02-22 14:16:39,764 | bot | INFO | Cog loaded: ErrorHandler
2021-02-22 14:16:39,765 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:16:39,871 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:16:49,334 | exts.error_handler | DEBUG | Command reload invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 'exts.timelogger'
2021-02-22 14:17:18,455 | main | INFO | Starting program...
2021-02-22 14:17:18,456 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:17:18,525 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:17:18,526 | bot | INFO | Bot Subclass Created.
2021-02-22 14:17:18,609 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:17:18,610 | bot | INFO | Cog loaded: ErrorHandler
2021-02-22 14:17:18,613 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:17:23,363 | exts.error_handler | DEBUG | Command profile invoked by Tpmonkey#2682 with error NoProfile: 
2021-02-22 14:17:50,320 | exts.error_handler | DEBUG | Command profile invoked by Tpmonkey#2682 with error NoProfile: 
2021-02-22 14:19:49,937 | main | INFO | Starting program...
2021-02-22 14:19:49,940 | asyncio | DEBUG | Using selector: EpollSelector
2021-02-22 14:19:49,963 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-02-22 14:19:49,967 | bot | INFO | Bot Subclass Created.
2021-02-22 14:19:49,974 | bot | INFO | Cog loaded: AdminCommands
2021-02-22 14:19:50,049 | bot | INFO | Cog loaded: CrusaderLevel
2021-02-22 14:19:50,051 | bot | INFO | Cog loaded: ErrorHandler
2021-02-22 14:19:55,740 | exts.error_handler | DEBUG | Command profile invoked by Tpmonkey#2682 with error MissingRequiredArgument: user is a required argument that is missing.
