2022-01-05 01:49:11,868 | main | INFO | Starting program...
2022-01-05 01:49:11,869 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-05 01:49:11,929 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-05 01:49:11,930 | bot | INFO | Bot Subclass Created.
2022-01-05 01:49:11,933 | bot | INFO | Cog loaded: CPcommands
2022-01-05 01:49:11,939 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-05 01:49:11,943 | bot | INFO | Cog loaded: OCPcommands
2022-01-05 01:49:11,944 | bot | INFO | Cog loaded: ErrorHandler
2022-01-05 01:49:11,951 | bot | INFO | Cog loaded: AdminCommands
2022-01-06 00:49:13,190 | main | INFO | Starting program...
2022-01-06 00:49:13,191 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-06 00:49:13,215 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-06 00:49:13,216 | bot | INFO | Bot Subclass Created.
2022-01-06 00:49:13,220 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-06 00:49:13,221 | bot | INFO | Cog loaded: AdminCommands
2022-01-06 00:49:13,222 | bot | INFO | Cog loaded: ErrorHandler
2022-01-06 00:49:13,223 | bot | INFO | Cog loaded: OCPcommands
2022-01-06 00:49:13,224 | bot | INFO | Cog loaded: CPcommands
2022-01-06 23:19:28,925 | main | INFO | Starting program...
2022-01-06 23:19:28,926 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-06 23:19:28,986 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-06 23:19:28,987 | bot | INFO | Bot Subclass Created.
2022-01-06 23:19:28,996 | bot | INFO | Cog loaded: OCPcommands
2022-01-06 23:19:28,997 | bot | INFO | Cog loaded: ErrorHandler
2022-01-06 23:19:29,003 | bot | INFO | Cog loaded: AdminCommands
2022-01-06 23:19:29,010 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-06 23:19:29,011 | bot | INFO | Cog loaded: CPcommands
2022-01-07 00:19:42,275 | main | INFO | Starting program...
2022-01-07 00:19:42,278 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-07 00:19:42,320 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-07 00:19:42,320 | bot | INFO | Bot Subclass Created.
2022-01-07 00:19:42,324 | bot | INFO | Cog loaded: OCPcommands
2022-01-07 00:19:42,325 | bot | INFO | Cog loaded: ErrorHandler
2022-01-07 00:19:42,329 | bot | INFO | Cog loaded: CPcommands
2022-01-07 00:19:42,379 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-07 00:19:42,390 | bot | INFO | Cog loaded: AdminCommands
2022-01-07 01:19:51,302 | main | INFO | Starting program...
2022-01-07 01:19:51,304 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-07 01:19:51,390 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-07 01:19:51,392 | bot | INFO | Bot Subclass Created.
2022-01-07 01:19:51,408 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-07 01:19:51,411 | bot | INFO | Cog loaded: ErrorHandler
2022-01-07 01:19:51,416 | bot | INFO | Cog loaded: OCPcommands
2022-01-07 01:19:51,421 | bot | INFO | Cog loaded: AdminCommands
2022-01-07 01:19:51,428 | bot | INFO | Cog loaded: CPcommands
2022-01-07 02:19:32,135 | main | INFO | Starting program...
2022-01-07 02:19:32,137 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-07 02:19:32,195 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-07 02:19:32,196 | bot | INFO | Bot Subclass Created.
2022-01-07 02:19:32,204 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-07 02:19:32,206 | bot | INFO | Cog loaded: AdminCommands
2022-01-07 02:19:32,208 | bot | INFO | Cog loaded: OCPcommands
2022-01-07 02:19:32,213 | bot | INFO | Cog loaded: CPcommands
2022-01-07 02:19:32,215 | bot | INFO | Cog loaded: ErrorHandler
2022-01-07 22:04:51,736 | main | INFO | Starting program...
2022-01-07 22:04:51,738 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-07 22:04:51,793 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-07 22:04:51,796 | bot | INFO | Bot Subclass Created.
2022-01-07 22:04:51,798 | bot | INFO | Cog loaded: ErrorHandler
2022-01-07 22:04:51,801 | bot | INFO | Cog loaded: AdminCommands
2022-01-07 22:04:51,802 | bot | INFO | Cog loaded: CPcommands
2022-01-07 22:04:51,804 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-07 22:04:51,806 | bot | INFO | Cog loaded: OCPcommands
2022-01-08 21:34:55,013 | main | INFO | Starting program...
2022-01-08 21:34:55,018 | asyncio | DEBUG | Using selector: EpollSelector
2022-01-08 21:34:55,044 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-01-08 21:34:55,044 | bot | INFO | Bot Subclass Created.
2022-01-08 21:34:55,047 | bot | INFO | Cog loaded: ErrorHandler
2022-01-08 21:34:55,049 | bot | INFO | Cog loaded: AdminCommands
2022-01-08 21:34:55,052 | bot | INFO | Cog loaded: CrusaderProfile
2022-01-08 21:34:55,053 | bot | INFO | Cog loaded: CPcommands
2022-01-08 21:34:55,054 | bot | INFO | Cog loaded: OCPcommands
2022-01-09 22:04:55,144 | main | INFO | Starting program...
2022-01-09 22:04:55,145 | asyncio | DEBUG | Using selector: EpollSelector
