2022-02-01 01:18:40,668 | main | INFO | Starting program...
2022-02-01 01:18:40,669 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-01 01:18:41,015 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-01 01:18:41,015 | bot | INFO | Bot Subclass Created.
2022-02-01 01:18:41,028 | bot | INFO | Cog loaded: OCPcommands
2022-02-01 01:18:41,045 | bot | INFO | Cog loaded: ErrorHandler
2022-02-01 01:18:41,050 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-01 01:18:41,053 | bot | INFO | Cog loaded: CPcommands
2022-02-01 01:18:41,059 | bot | INFO | Cog loaded: AdminCommands
2022-02-01 09:22:52,742 | main | INFO | Starting program...
2022-02-01 09:22:52,743 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-01 09:22:52,907 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-01 09:22:52,913 | bot | INFO | Bot Subclass Created.
2022-02-01 09:22:52,920 | bot | INFO | Cog loaded: AdminCommands
2022-02-01 09:22:52,929 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-01 09:22:52,938 | bot | INFO | Cog loaded: CPcommands
2022-02-01 09:22:52,940 | bot | INFO | Cog loaded: OCPcommands
2022-02-01 09:22:52,940 | bot | INFO | Cog loaded: ErrorHandler
2022-02-01 22:22:03,544 | main | INFO | Starting program...
2022-02-01 22:22:03,545 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-01 22:22:03,567 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-01 22:22:03,567 | bot | INFO | Bot Subclass Created.
2022-02-01 22:22:03,570 | bot | INFO | Cog loaded: OCPcommands
2022-02-01 22:22:03,571 | bot | INFO | Cog loaded: CPcommands
2022-02-01 22:22:03,571 | bot | INFO | Cog loaded: ErrorHandler
2022-02-01 22:22:03,574 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-01 22:22:03,590 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 00:53:00,130 | main | INFO | Starting program...
2022-02-02 00:53:00,136 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 00:53:00,287 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 00:53:00,292 | bot | INFO | Bot Subclass Created.
2022-02-02 00:53:00,307 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 00:53:00,315 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 00:53:00,328 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 00:53:00,332 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 00:53:00,342 | bot | INFO | Cog loaded: CPcommands
2022-02-02 02:22:12,737 | main | INFO | Starting program...
2022-02-02 02:22:12,739 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 02:22:12,843 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 02:22:12,844 | bot | INFO | Bot Subclass Created.
2022-02-02 02:22:12,846 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 02:22:12,850 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 02:22:12,851 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 02:22:12,859 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 02:22:12,860 | bot | INFO | Cog loaded: CPcommands
2022-02-02 18:53:02,054 | main | INFO | Starting program...
2022-02-02 18:53:02,067 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 18:53:02,290 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 18:53:02,291 | bot | INFO | Bot Subclass Created.
2022-02-02 18:53:02,315 | bot | INFO | Cog loaded: CPcommands
2022-02-02 18:53:02,327 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 18:53:02,335 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 18:53:02,335 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 18:53:02,365 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 20:22:59,622 | main | INFO | Starting program...
2022-02-02 20:22:59,623 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 20:22:59,692 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 20:22:59,697 | bot | INFO | Bot Subclass Created.
2022-02-02 20:22:59,702 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 20:22:59,708 | bot | INFO | Cog loaded: CPcommands
2022-02-02 20:22:59,713 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 20:22:59,714 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 20:22:59,717 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 21:22:52,524 | main | INFO | Starting program...
2022-02-02 21:22:52,526 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 21:22:52,593 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 21:22:52,602 | bot | INFO | Bot Subclass Created.
2022-02-02 21:22:52,608 | bot | INFO | Cog loaded: CPcommands
2022-02-02 21:22:52,616 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 21:22:52,618 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 21:22:52,622 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 21:22:52,625 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 22:22:30,773 | main | INFO | Starting program...
2022-02-02 22:22:30,775 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-02 22:22:30,849 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-02 22:22:30,854 | bot | INFO | Bot Subclass Created.
2022-02-02 22:22:30,863 | bot | INFO | Cog loaded: AdminCommands
2022-02-02 22:22:30,865 | bot | INFO | Cog loaded: OCPcommands
2022-02-02 22:22:30,865 | bot | INFO | Cog loaded: ErrorHandler
2022-02-02 22:22:30,871 | bot | INFO | Cog loaded: CrusaderProfile
2022-02-02 22:22:30,872 | bot | INFO | Cog loaded: CPcommands
2022-02-03 08:52:10,058 | main | INFO | Starting program...
2022-02-03 08:52:10,062 | asyncio | DEBUG | Using selector: EpollSelector
2022-02-03 08:52:10,100 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-02-03 08:52:10,101 | bot | INFO | Bot Subclass Created.
2022-02-03 08:52:10,106 | bot | INFO | Cog loaded: ErrorHandler
2022-02-03 08:52:10,108 | bot | INFO | Cog loaded: AdminCommands
2022-02-03 08:52:10,109 | bot | INFO | Cog loaded: OCPcommands
