2022-03-01 00:53:19,616 | main | INFO | Starting program...
2022-03-01 00:53:19,617 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-01 00:53:19,681 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-01 00:53:19,682 | bot | INFO | Bot Subclass Created.
2022-03-01 00:53:19,686 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-01 00:53:19,687 | bot | INFO | Cog loaded: CPcommands
2022-03-01 00:53:19,688 | bot | INFO | Cog loaded: ErrorHandler
2022-03-01 00:53:19,690 | bot | INFO | Cog loaded: AdminCommands
2022-03-01 00:53:19,691 | bot | INFO | Cog loaded: OCPcommands
2022-03-01 10:49:42,447 | main | INFO | Starting program...
2022-03-01 10:49:42,449 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-01 10:49:42,519 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-01 10:49:42,520 | bot | INFO | Bot Subclass Created.
2022-03-01 10:49:42,529 | bot | INFO | Cog loaded: AdminCommands
2022-03-01 10:49:42,535 | bot | INFO | Cog loaded: OCPcommands
2022-03-01 10:49:42,539 | bot | INFO | Cog loaded: CPcommands
2022-03-01 10:49:42,542 | bot | INFO | Cog loaded: ErrorHandler
2022-03-01 10:49:42,548 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-01 22:47:34,860 | main | INFO | Starting program...
2022-03-01 22:47:34,861 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-01 22:47:34,887 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-01 22:47:34,887 | bot | INFO | Bot Subclass Created.
2022-03-01 22:47:34,890 | bot | INFO | Cog loaded: OCPcommands
2022-03-01 22:47:34,892 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-01 22:47:34,930 | bot | INFO | Cog loaded: AdminCommands
2022-03-01 22:47:34,931 | bot | INFO | Cog loaded: CPcommands
2022-03-01 22:47:34,932 | bot | INFO | Cog loaded: ErrorHandler
2022-03-02 03:56:53,415 | main | INFO | Starting program...
2022-03-02 03:56:53,416 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-02 03:56:53,442 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-02 03:56:53,443 | bot | INFO | Bot Subclass Created.
2022-03-02 03:56:53,447 | bot | INFO | Cog loaded: AdminCommands
2022-03-02 03:56:53,449 | bot | INFO | Cog loaded: ErrorHandler
2022-03-02 03:56:53,450 | bot | INFO | Cog loaded: CPcommands
2022-03-02 03:56:53,452 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-02 03:56:53,453 | bot | INFO | Cog loaded: OCPcommands
2022-03-02 21:04:10,016 | main | INFO | Starting program...
2022-03-02 21:04:10,018 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-02 21:04:10,093 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-02 21:04:10,100 | bot | INFO | Bot Subclass Created.
2022-03-02 21:04:10,117 | bot | INFO | Cog loaded: AdminCommands
2022-03-02 21:04:10,119 | bot | INFO | Cog loaded: ErrorHandler
2022-03-02 21:04:10,124 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-02 21:04:10,126 | bot | INFO | Cog loaded: CPcommands
2022-03-02 21:04:10,128 | bot | INFO | Cog loaded: OCPcommands
2022-03-03 17:27:04,247 | main | INFO | Starting program...
2022-03-03 17:27:04,251 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-03 17:27:04,326 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-03 17:27:04,326 | bot | INFO | Bot Subclass Created.
2022-03-03 17:27:04,336 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-03 17:27:04,339 | bot | INFO | Cog loaded: OCPcommands
2022-03-03 17:27:04,346 | bot | INFO | Cog loaded: AdminCommands
2022-03-03 17:27:04,353 | bot | INFO | Cog loaded: CPcommands
2022-03-03 17:27:04,354 | bot | INFO | Cog loaded: ErrorHandler
2022-03-03 19:56:51,849 | main | INFO | Starting program...
2022-03-03 19:56:51,850 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-03 19:56:51,878 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-03 19:56:51,879 | bot | INFO | Bot Subclass Created.
2022-03-03 19:56:51,882 | bot | INFO | Cog loaded: CPcommands
2022-03-03 19:56:51,883 | bot | INFO | Cog loaded: AdminCommands
2022-03-03 19:56:51,884 | bot | INFO | Cog loaded: ErrorHandler
2022-03-03 19:56:51,885 | bot | INFO | Cog loaded: OCPcommands
2022-03-03 19:56:51,887 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-03 20:56:58,433 | main | INFO | Starting program...
2022-03-03 20:56:58,434 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-03 20:56:58,509 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-03 20:56:58,510 | bot | INFO | Bot Subclass Created.
2022-03-03 20:56:58,515 | bot | INFO | Cog loaded: AdminCommands
2022-03-03 20:56:58,517 | bot | INFO | Cog loaded: CPcommands
2022-03-03 20:56:58,518 | bot | INFO | Cog loaded: OCPcommands
2022-03-03 20:56:58,524 | bot | INFO | Cog loaded: CrusaderProfile
2022-03-03 20:56:58,525 | bot | INFO | Cog loaded: ErrorHandler
2022-03-03 22:27:27,538 | main | INFO | Starting program...
2022-03-03 22:27:27,543 | asyncio | DEBUG | Using selector: EpollSelector
2022-03-03 22:27:27,618 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-03-03 22:27:27,619 | bot | INFO | Bot Subclass Created.
2022-03-03 22:27:27,633 | bot | INFO | Cog loaded: AdminCommands
