2022-09-01 00:35:00,539 | main | INFO | Starting program...
2022-09-01 00:35:00,540 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 00:35:00,569 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 00:35:00,570 | bot | INFO | Bot Subclass Created.
2022-09-01 00:35:00,574 | bot | INFO | Cog loaded: CPcommands
2022-09-01 00:35:00,575 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 00:35:00,579 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 00:35:00,581 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 00:35:00,586 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 02:55:25,654 | main | INFO | Starting program...
2022-09-01 02:55:25,655 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 02:55:25,679 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 02:55:25,680 | bot | INFO | Bot Subclass Created.
2022-09-01 02:55:25,682 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 02:55:25,685 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 02:55:25,686 | bot | INFO | Cog loaded: CPcommands
2022-09-01 02:55:25,687 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 02:55:25,689 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 04:40:27,869 | main | INFO | Starting program...
2022-09-01 04:40:27,869 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 04:40:27,891 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 04:40:27,892 | bot | INFO | Bot Subclass Created.
2022-09-01 04:40:27,894 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 04:40:27,901 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 04:40:27,902 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 04:40:27,904 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 04:40:27,905 | bot | INFO | Cog loaded: CPcommands
2022-09-01 05:55:36,319 | main | INFO | Starting program...
2022-09-01 05:55:36,321 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 05:55:36,357 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 05:55:36,358 | bot | INFO | Bot Subclass Created.
2022-09-01 05:55:36,365 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 05:55:36,369 | bot | INFO | Cog loaded: CPcommands
2022-09-01 05:55:36,373 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 05:55:36,374 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 05:55:36,375 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 07:11:15,312 | main | INFO | Starting program...
2022-09-01 07:11:15,313 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 07:11:15,344 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 07:11:15,345 | bot | INFO | Bot Subclass Created.
2022-09-01 07:11:15,348 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 07:11:15,352 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 07:11:15,355 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 07:11:15,358 | bot | INFO | Cog loaded: CPcommands
2022-09-01 07:11:15,363 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 08:27:07,760 | main | INFO | Starting program...
2022-09-01 08:27:07,761 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 08:27:07,786 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 08:27:07,787 | bot | INFO | Bot Subclass Created.
2022-09-01 08:27:07,790 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 08:27:07,793 | bot | INFO | Cog loaded: CPcommands
2022-09-01 08:27:07,795 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 08:27:07,796 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 08:27:07,799 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 09:41:58,872 | main | INFO | Starting program...
2022-09-01 09:41:58,873 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 09:41:58,901 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 09:41:58,902 | bot | INFO | Bot Subclass Created.
2022-09-01 09:41:58,906 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 09:41:58,908 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 09:41:58,910 | bot | INFO | Cog loaded: CPcommands
2022-09-01 09:41:58,910 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 09:41:58,912 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 10:57:22,575 | main | INFO | Starting program...
2022-09-01 10:57:22,584 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 10:57:22,706 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 10:57:22,715 | bot | INFO | Bot Subclass Created.
2022-09-01 10:57:22,725 | bot | INFO | Cog loaded: CPcommands
2022-09-01 10:57:22,728 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 10:57:22,735 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 10:57:22,738 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 10:57:22,744 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 12:12:17,970 | main | INFO | Starting program...
2022-09-01 12:12:17,971 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 12:12:18,001 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 12:12:18,001 | bot | INFO | Bot Subclass Created.
2022-09-01 12:12:18,005 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 12:12:18,021 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 12:12:18,024 | bot | INFO | Cog loaded: CPcommands
2022-09-01 12:12:18,027 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 12:12:18,030 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 13:42:03,901 | main | INFO | Starting program...
2022-09-01 13:42:03,903 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 13:42:03,931 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 13:42:03,932 | bot | INFO | Bot Subclass Created.
2022-09-01 13:42:03,935 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 13:42:03,938 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 13:42:03,941 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 13:42:03,942 | bot | INFO | Cog loaded: CPcommands
2022-09-01 13:42:03,943 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 16:11:56,178 | main | INFO | Starting program...
2022-09-01 16:11:56,178 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 16:11:56,207 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 16:11:56,211 | bot | INFO | Bot Subclass Created.
2022-09-01 16:11:56,222 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 16:11:56,224 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 16:11:56,226 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 16:11:56,236 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 16:11:56,237 | bot | INFO | Cog loaded: CPcommands
2022-09-01 18:54:27,664 | main | INFO | Starting program...
2022-09-01 18:54:27,667 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 18:54:27,940 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 18:54:27,943 | bot | INFO | Bot Subclass Created.
2022-09-01 18:54:27,958 | bot | INFO | Cog loaded: CPcommands
2022-09-01 18:54:27,970 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 18:54:27,988 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 18:54:27,991 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 18:54:28,010 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 22:09:05,524 | main | INFO | Starting program...
2022-09-01 22:09:05,526 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 22:09:05,543 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 22:09:05,544 | bot | INFO | Bot Subclass Created.
2022-09-01 22:09:05,547 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 22:09:05,550 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 22:09:05,552 | bot | INFO | Cog loaded: CPcommands
2022-09-01 22:09:05,553 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 22:09:05,555 | bot | INFO | Cog loaded: OCPcommands
2022-09-01 23:24:04,505 | main | INFO | Starting program...
2022-09-01 23:24:04,510 | asyncio | DEBUG | Using selector: EpollSelector
2022-09-01 23:24:04,630 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-09-01 23:24:04,636 | bot | INFO | Bot Subclass Created.
2022-09-01 23:24:04,649 | bot | INFO | Cog loaded: AdminCommands
2022-09-01 23:24:04,650 | bot | INFO | Cog loaded: ErrorHandler
2022-09-01 23:24:04,658 | bot | INFO | Cog loaded: CrusaderProfile
2022-09-01 23:24:04,663 | bot | INFO | Cog loaded: CPcommands
2022-09-01 23:24:04,666 | bot | INFO | Cog loaded: OCPcommands
2022-09-02 00:58:53,458 | main | INFO | Starting program...
2022-09-02 00:58:53,459 | asyncio | DEBUG | Using selector: EpollSelector
