2022-11-01 01:13:14,643 | main | INFO | Starting program...
2022-11-01 01:13:14,644 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 01:13:14,671 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 01:13:14,671 | bot | INFO | Bot Subclass Created.
2022-11-01 01:13:14,676 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 01:13:14,678 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 01:13:14,679 | bot | INFO | Cog loaded: CPcommands
2022-11-01 01:13:14,682 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 01:13:14,684 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 02:27:23,453 | main | INFO | Starting program...
2022-11-01 02:27:23,453 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 02:27:23,515 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 02:27:23,521 | bot | INFO | Bot Subclass Created.
2022-11-01 02:27:23,533 | bot | INFO | Cog loaded: CPcommands
2022-11-01 02:27:23,542 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 02:27:23,567 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 02:27:23,569 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 02:27:23,571 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 03:42:13,703 | main | INFO | Starting program...
2022-11-01 03:42:13,706 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 03:42:13,733 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 03:42:13,734 | bot | INFO | Bot Subclass Created.
2022-11-01 03:42:13,737 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 03:42:13,738 | bot | INFO | Cog loaded: CPcommands
2022-11-01 03:42:13,740 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 03:42:13,741 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 03:42:13,743 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 04:57:33,659 | main | INFO | Starting program...
2022-11-01 04:57:33,659 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 04:57:33,702 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 04:57:33,704 | bot | INFO | Bot Subclass Created.
2022-11-01 04:57:33,713 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 04:57:33,714 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 04:57:33,721 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 04:57:33,722 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 04:57:33,723 | bot | INFO | Cog loaded: CPcommands
2022-11-01 06:29:26,857 | main | INFO | Starting program...
2022-11-01 06:29:26,859 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 06:29:26,887 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 06:29:26,888 | bot | INFO | Bot Subclass Created.
2022-11-01 06:29:26,891 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 06:29:26,892 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 06:29:26,892 | bot | INFO | Cog loaded: CPcommands
2022-11-01 06:29:26,894 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 06:29:26,895 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 07:44:12,800 | main | INFO | Starting program...
2022-11-01 07:44:12,801 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 07:44:12,911 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 07:44:12,918 | bot | INFO | Bot Subclass Created.
2022-11-01 07:44:12,928 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 07:44:12,944 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 07:44:12,951 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 07:44:12,956 | bot | INFO | Cog loaded: CPcommands
2022-11-01 07:44:12,964 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 08:58:59,060 | main | INFO | Starting program...
2022-11-01 08:58:59,061 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 08:58:59,112 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 08:58:59,112 | bot | INFO | Bot Subclass Created.
2022-11-01 08:58:59,131 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 08:58:59,132 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 08:58:59,132 | bot | INFO | Cog loaded: CPcommands
2022-11-01 08:58:59,136 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 08:58:59,142 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 10:44:30,516 | main | INFO | Starting program...
2022-11-01 10:44:30,520 | asyncio | DEBUG | Using selector: EpollSelector
2022-11-01 10:44:30,704 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-11-01 10:44:30,729 | bot | INFO | Bot Subclass Created.
2022-11-01 10:44:30,732 | bot | INFO | Cog loaded: AdminCommands
2022-11-01 10:44:30,735 | bot | INFO | Cog loaded: CrusaderProfile
2022-11-01 10:44:30,737 | bot | INFO | Cog loaded: CPcommands
2022-11-01 10:44:30,738 | bot | INFO | Cog loaded: ErrorHandler
2022-11-01 10:44:30,739 | bot | INFO | Cog loaded: OCPcommands
2022-11-01 11:59:54,615 | main | INFO | Starting program...
